rank	head	essay_frequency	direct_syn_tails
1089	結他	3470	0
1090	翻到	3470	0
1091	識講	3470	0
1092	豬扒	3470	0
1093	跪低	3470	0
1094	銀仔	3470	0
1095	陰毛	3470	0
1096	高中	3470	0
1097	共有	3454	0
1098	輸入法	3442	0
1099	七七八八	3381	0
1100	人仔	3381	0
1101	初頭	3381	0
1102	勤力	3381	0
1103	十點	3381	0
1104	呱	3381	0
1105	咖	3381	0
1106	喃喃	3381	1
1107	嗰度	3381	0
1108	奸笑	3381	1
1109	急不及待	3381	0
1110	手指公	3381	0
1111	撻	3381	0
1112	極之	3381	0
1113	泳	3381	0
1114	狗公	3381	0
1115	瞇	3381	0
1116	花名	3381	0
1117	落力	3381	0
1118	薯仔	3381	0
1119	螯	3381	0
1120	變做	3381	0
1121	邊間	3381	0
1122	開燈	3381	0
1123	風水	3381	0
1124	髮型	3381	0
1125	炒作	3377	0
1126	最愛	3363	0
1127	研究所	3347	0
1128	做得	3343	0
1129	其他人	3336	0
1130	主頁	3296	1
1131	設計師	3295	0
1132	一嚟	3292	0
1133	侍應	3292	0
1134	勾起	3292	0
1135	反問	3292	1
1136	唔覺意	3292	0
1137	好靜	3292	0
1138	嫌棄	3292	1
1139	握手	3292	0
1140	晨早	3292	0
1141	有型	3292	0
1142	水族館	3292	0
1143	泥膠	3292	0
1144	生還	3292	0
1145	的而且確	3292	0
1146	聽聞	3292	0
1147	茶餐廳	3292	0
1148	薯片	3292	0
