rank	head	essay_frequency	batch_index	direct_syn_tails
987	未夠	3915	5	0
988	沙沙	3915	5	1
989	眼定定	3915	5	0
990	立法	3915	5	1
991	總部	3915	5	1
992	閉上	3915	5	0
993	傻佬	3826	5	0
994	冇幾耐	3826	5	0
995	口交	3826	5	0
996	叮叮	3826	5	0
997	呷醋	3826	5	0
998	啤住	3826	5	0
999	壓住	3826	5	0
1000	望下	3826	5	0
1001	死心	3826	6	0
1002	流眼淚	3826	6	0
1003	用嚟	3826	6	0
1004	發洩	3826	6	0
1005	貴族	3826	6	0
1006	邊位	3826	6	0
1007	金色	3826	6	1
1008	阿仔	3826	6	0
1009	鬧交	3826	6	0
1010	看上去	3775	6	1
1011	存檔	3754	6	1
1012	庫存	3747	6	1
1013	兔子	3741	6	1
1014	單手	3737	6	0
1015	嗌交	3737	6	0
1016	四肢	3737	6	1
1017	壺	3737	6	1
1018	大大力	3737	6	0
1019	好眼	3737	6	0
1020	客服	3737	6	0
1021	小息	3737	6	0
1022	小隊	3737	6	0
1023	沙律	3737	6	0
1024	瘀	3737	6	0
1025	紋身	3737	6	0
1026	紫	3737	6	1
1027	肉酸	3737	6	0
1028	轉校	3737	6	0
1029	離家出走	3737	6	0
1030	眼裏	3722	6	1
1031	單元	3652	6	0
1032	兩粒	3648	6	0
1033	八月	3648	6	1
1034	反轉	3648	6	1
1035	坐監	3648	6	0
1036	姣	3648	6	0
1037	宗教	3648	6	1
1038	慳	3648	6	0
1039	我架	3648	6	0
1040	整到	3648	6	0
1041	正所謂	3648	6	0
1042	牠	3648	6	0
1043	睇穿	3648	6	0
1044	緣份	3648	6	0
1045	試問	3648	6	1
1046	開會	3648	6	0
1047	頸鍊	3648	6	0
1048	魚蛋	3648	6	0
1049	是以	3609	6	0
1050	國內外	3601	6	0
1051	考研	3565	6	1
1052	一腳踢	3559	6	0
1053	九月	3559	6	0
1054	傻豬	3559	6	0
1055	冇心	3559	6	0
1056	勢力	3559	6	1
1057	士多	3559	6	0
1058	好勁	3559	6	0
1059	娘親	3559	6	0
1060	市民	3559	6	1
1061	探員	3559	6	0
1062	步行	3559	6	1
